algoritmo,versao,dataset,tamanho,threads,amostra,tempo_ms,obs
Counting,serial,nearly,100000,1,3,0.506,
Counting,serial,nearly,100000,1,4,0.260,
Counting,serial,nearly,100000,1,5,0.310,
Counting,serial,dupes,10000,1,1,0.016,
Counting,serial,dupes,10000,1,2,0.016,
Counting,serial,dupes,10000,1,3,0.016,
Counting,serial,dupes,10000,1,4,0.016,
Counting,serial,dupes,10000,1,5,0.015,
Counting,serial,dupes,50000,1,1,0.077,
Counting,serial,dupes,50000,1,2,0.080,
Counting,serial,dupes,50000,1,3,0.084,
Counting,serial,dupes,50000,1,4,0.084,
Counting,serial,dupes,50000,1,5,0.087,
Counting,serial,dupes,100000,1,1,0.168,
Counting,serial,dupes,100000,1,2,0.167,
Counting,serial,dupes,100000,1,3,0.167,
Counting,serial,dupes,100000,1,4,0.189,
Counting,serial,dupes,100000,1,5,0.167,
Merge,serial,random,10000,1,1,4.735,
Merge,serial,random,10000,1,2,2.016,
Merge,serial,random,10000,1,3,1.978,
Merge,serial,random,10000,1,4,1.524,
Merge,serial,random,10000,1,5,1.468,
Merge,serial,random,50000,1,1,8.045,
Merge,serial,random,50000,1,2,6.672,
Merge,serial,random,50000,1,3,6.833,
Merge,serial,random,50000,1,4,7.510,
Merge,serial,random,50000,1,5,6.659,
Merge,serial,random,100000,1,1,13.937,
Merge,serial,random,100000,1,2,12.152,
Merge,serial,random,100000,1,3,12.125,
Merge,serial,random,100000,1,4,11.772,
Merge,serial,random,100000,1,5,11.757,
Merge,serial,reversed,10000,1,1,0.311,
Merge,serial,reversed,10000,1,2,0.296,
Merge,serial,reversed,10000,1,3,0.398,
Merge,serial,reversed,10000,1,4,0.397,
Merge,serial,reversed,10000,1,5,0.288,
Merge,serial,reversed,50000,1,1,1.771,
Merge,serial,reversed,50000,1,2,1.652,
Merge,serial,reversed,50000,1,3,1.640,
Merge,serial,reversed,50000,1,4,1.623,
Merge,serial,reversed,50000,1,5,1.736,
Merge,serial,reversed,100000,1,1,3.353,
Merge,serial,reversed,100000,1,2,3.380,
Merge,serial,reversed,100000,1,3,3.504,
Merge,serial,reversed,100000,1,4,3.324,
Merge,serial,reversed,100000,1,5,3.465,
Merge,serial,nearly,10000,1,1,0.362,
Merge,serial,nearly,10000,1,2,0.380,
Merge,serial,nearly,10000,1,3,0.337,
Merge,serial,nearly,10000,1,4,0.336,
Merge,serial,nearly,10000,1,5,0.330,
Merge,serial,nearly,50000,1,1,1.951,
Merge,serial,nearly,50000,1,2,2.089,
Merge,serial,nearly,50000,1,3,1.901,
Merge,serial,nearly,50000,1,4,1.980,
Merge,serial,nearly,50000,1,5,1.887,
Merge,serial,nearly,100000,1,1,4.055,
Merge,serial,nearly,100000,1,2,3.939,
Merge,serial,nearly,100000,1,3,4.034,
Merge,serial,nearly,100000,1,4,4.158,
Merge,serial,nearly,100000,1,5,4.125,
Merge,serial,dupes,10000,1,1,0.681,
Merge,serial,dupes,10000,1,2,0.631,
Merge,serial,dupes,10000,1,3,0.692,
Merge,serial,dupes,10000,1,4,0.698,
Merge,serial,dupes,10000,1,5,0.621,
Merge,serial,dupes,50000,1,1,3.514,
Merge,serial,dupes,50000,1,2,5.178,
Merge,serial,dupes,50000,1,3,3.501,
Merge,serial,dupes,50000,1,4,3.824,
Merge,serial,dupes,50000,1,5,3.408,
Merge,serial,dupes,100000,1,1,7.905,
Merge,serial,dupes,100000,1,2,6.965,
Merge,serial,dupes,100000,1,3,6.788,
Merge,serial,dupes,100000,1,4,7.193,
Merge,serial,dupes,100000,1,5,6.790,
Quick,serial,random,10000,1,1,5.516,
Quick,serial,random,10000,1,2,1.672,
Quick,serial,random,10000,1,3,1.788,
Quick,serial,random,10000,1,4,1.648,
Quick,serial,random,10000,1,5,1.722,
Quick,serial,random,50000,1,1,9.911,
Quick,serial,random,50000,1,2,4.163,
Quick,serial,random,50000,1,3,3.919,
Quick,serial,random,50000,1,4,4.016,
Quick,serial,random,50000,1,5,3.958,
Quick,serial,random,100000,1,1,8.312,
Quick,serial,random,100000,1,2,8.307,
Quick,serial,random,100000,1,3,9.782,
Quick,serial,random,100000,1,4,8.509,
Quick,serial,random,100000,1,5,8.357,
Quick,serial,reversed,10000,1,1,0.366,
Quick,serial,reversed,10000,1,2,0.359,
Quick,serial,reversed,10000,1,3,0.382,
Quick,serial,reversed,10000,1,4,0.357,
Quick,serial,reversed,10000,1,5,0.362,
Quick,serial,reversed,50000,1,1,1.864,
Quick,serial,reversed,50000,1,2,2.228,
Quick,serial,reversed,50000,1,3,1.934,
Quick,serial,reversed,50000,1,4,2.057,
Quick,serial,reversed,50000,1,5,1.913,
Quick,serial,reversed,100000,1,1,5.696,
Quick,serial,reversed,100000,1,2,4.046,
Quick,serial,reversed,100000,1,3,4.015,
Quick,serial,reversed,100000,1,4,3.976,
Quick,serial,reversed,100000,1,5,4.010,
Quick,serial,nearly,10000,1,1,0.371,
Quick,serial,nearly,10000,1,2,0.371,
Quick,serial,nearly,10000,1,3,0.366,
Quick,serial,nearly,10000,1,4,0.378,
Quick,serial,nearly,10000,1,5,0.376,
Quick,serial,nearly,50000,1,1,2.457,
Quick,serial,nearly,50000,1,2,2.019,
Quick,serial,nearly,50000,1,3,1.952,
Quick,serial,nearly,50000,1,4,2.197,
Quick,serial,nearly,50000,1,5,1.945,
Quick,serial,nearly,100000,1,1,4.043,
Quick,serial,nearly,100000,1,2,4.279,
Quick,serial,nearly,100000,1,3,4.053,
Quick,serial,nearly,100000,1,4,4.099,
Quick,serial,nearly,100000,1,5,4.022,
Quick,serial,dupes,10000,1,1,5.869,
Quick,serial,dupes,10000,1,2,5.692,
Quick,serial,dupes,10000,1,3,5.796,
Quick,serial,dupes,10000,1,4,5.693,
Quick,serial,dupes,10000,1,5,5.737,
Quick,serial,dupes,50000,1,1,141.962,
Quick,serial,dupes,50000,1,2,140.944,
Quick,serial,dupes,50000,1,3,143.882,
Quick,serial,dupes,50000,1,4,145.743,
Quick,serial,dupes,50000,1,5,164.537,
Quick,serial,dupes,100000,1,1,582.595,
Quick,serial,dupes,100000,1,2,582.980,
Quick,serial,dupes,100000,1,3,565.535,
Quick,serial,dupes,100000,1,4,593.639,
Quick,serial,dupes,100000,1,5,564.256,
